aic_exp,aic_hyp,aic_harm,aic_hyp2exp,bic_exp,bic_hyp,bic_harm,bic_hyp2exp,rmse_for_exp,rmse_for_hyp,rmse_for_harm,rmse_for_hyp2exp,negslope_exp_percentage,negslope_hyp_percentage,negslope_harm_percentage,negslope_hyp2exp_percentage,WELL_NUM,best_model,All_outliers
-30.780743659876343,-28.92991986724404,-29.50512102601801,-30.318068298520352,13388.501312554936,12027.220413073876,12450.280865352132,13048.203584277604,94.47517056841906,59.479463785359656,68.67817040115546,84.15566295476683,0.9993275050437121,0.9993275050437121,0.9993275050437121,0.9993275050437121,WellNum-19555_gas,hyp,"[1.42074e+03 1.52042e+03 1.40297e+03 1.35609e+03 1.37859e+03 1.35741e+03
 1.46511e+03 1.40403e+03 1.46011e+03 1.41516e+03 1.37849e+03 1.36843e+03
 7.18000e+00 7.50000e-01 6.45000e+00 1.91000e+00]"
-21.11132389310136,-20.12269986684035,-20.159464994966086,-20.692555338131353,5606.436776393968,4978.660519718225,5002.006376078069,5340.518743988011,9.065217919256419,7.080105983282479,7.145481215044612,8.164151034245283,0.9992821249102656,0.9992821249102656,0.9992821249102656,0.9992821249102656,WellNum-19556_oil,hyp,"[182.   173.   160.79 159.3  157.42 153.65 167.31 173.74 173.86 166.09
 154.79 162.16 161.   160.   159.  ]"
-26.970623690840995,-26.97655824719622,-26.98786615528387,-26.970623591876524,5560.513137599008,5562.590232323338,5566.548000154015,5560.513102961443,52.831930655447685,52.91037234809721,53.060160378850384,52.83192934832669,0.9987325728770595,0.9987325728770595,0.9987325728770595,0.9987325728770595,WellNum-19556_gas,hyp2exp,"[1.10016e+03 1.06781e+03 1.04650e+03 1.04460e+03 1.14617e+03 1.14319e+03
 1.14531e+03 1.03886e+03 1.10861e+03 1.08190e+03 1.07672e+03 1.05149e+03
 1.02000e+00 2.09000e+00 1.40000e-01]"
-22.664470551796143,-21.273221955430625,-21.34663883569388,-22.127961827286782,6688.761482362967,5789.319264812659,5836.783277902853,6341.908591967665,13.246819005633919,9.355321253836642,9.528616362287964,11.584062922054127,0.9992862241256245,0.9992862241256245,0.9992862241256245,0.9992862241256245,WellNum-19557_oil,hyp,"[208.   207.09 205.74 202.14 201.9  199.32 195.04 201.62 200.36 211.39
 209.86 197.93 206.92 208.   195.  ]"
-29.226255053127343,-28.583096036263427,-28.991777167443722,-29.135737040769044,9104.02479099762,8766.044727635634,8980.806662070878,9056.457575503335,75.77853535747937,64.52323062117502,71.46412720767097,74.08296210474566,0.9991326973113617,0.9991326973113617,0.9991326973113617,0.9991326973113617,WellNum-19557_gas,hyp,"[1.06476e+03 1.17740e+03 1.05692e+03 1.08700e+03 1.06600e+03 1.06363e+03
 1.05216e+03 1.05153e+03 1.04146e+03 1.03591e+03 1.68500e+01 8.90000e-01
 4.81000e+00 2.25000e+00 1.74900e+01]"
-24.270512275398108,-22.728439218763977,-22.746262996247705,-23.554729033727305,8624.428826632187,7486.378910836198,7499.532858619192,8096.180794279136,18.524284857793862,12.598330461351512,12.654593179732162,15.489103177002434,0.9993288590604027,0.9993288590604027,0.9993288590604027,0.9993288590604027,WellNum-19563_oil,hyp,"[374.   333.34 353.35 323.35 337.39 343.24 337.07 340.92 329.78 319.41
 346.73 337.38 355.67 339.75 332.02 327.4 ]"
-30.275864604175183,-28.971021275957288,-29.073814438333507,-29.72922032006649,12977.929682076145,12021.479522492427,12096.826910514195,12577.239421824472,83.4142960231509,60.196178953436004,61.76316606201578,72.75943866919924,0.9993252361673415,0.9993252361673415,0.9993252361673415,0.9993252361673415,WellNum-19563_gas,hyp,"[  30.76 1368.58 1249.78 1227.3  1200.79 1208.14 1240.97 1251.76 1289.03
 1397.68 1218.64 1302.02 1192.17 1195.82   35.53    4.66]"
-24.525606633716862,-23.00820279844778,-23.214039030508584,-23.993425030661975,8867.277835728697,7739.088084206135,7892.12732274334,8471.600813857387,19.67096489220515,13.46094764650254,14.171767544171983,17.220461251382392,0.9993342210386151,0.9993342210386151,0.9993342210386151,0.9993342210386151,WellNum-19564_oil,hyp,"[302.   301.   296.   318.   318.   310.   303.   301.   309.   352.
 297.42 304.99 289.1  286.37  -5.5    2.15]"
-29.05051787292207,-28.831303617424773,-29.003917593227087,-29.04559601273898,9215.685950172945,9097.5294664599,9190.56839941735,9213.033067534257,71.6073765066603,67.78863317613363,70.77798617166893,71.51932031898988,0.9990783410138249,0.9990783410138249,0.9990783410138249,0.9990783410138249,WellNum-19564_gas,hyp,"[3.58200e+01 4.12500e+01 1.32578e+03 1.29655e+03 1.29396e+03 1.31186e+03
 1.34439e+03 1.35976e+03 9.11000e+01 9.23600e+01 4.92800e+01 8.54500e+01
 1.68000e+01 8.09600e+01 1.02000e+00 2.46300e+01]"
-24.273419239297706,-23.8537256961688,-23.892441509196534,-24.127653040672914,5331.407078353104,5157.234257954609,5173.301320361118,5270.914105923816,24.720724970105753,22.258380149757173,22.474863949036,23.836080253281626,0.9992094861660079,0.9992094861660079,0.9992094861660079,0.9992094861660079,WellNum-18090_oil,hyp,"[ 301.    304.91  329.56  312.16  356.    385.93  311.28  274.05  280.6
  274.61  305.09 -256.64 -246.2 ]"
-30.209092020669132,-30.154661448449488,-30.172795719880426,-30.161734848581347,10495.11655339033,10463.574036789045,10474.082847083275,10467.673072165457,92.26054483083573,91.01359950332204,91.42715255974814,91.17468579149823,0.9993002099370188,0.9993002099370188,0.9993002099370188,0.9993002099370188,WellNum-18090_gas,hyp,"[751.68 766.3  785.68 754.75 766.31 764.42 761.06 779.36 790.46 783.88
 754.1  760.63 758.14 744.89 772.29]"
-23.01667830130844,-21.108741279995915,-21.7479756674153,-22.57799384091052,1788.1145742251915,1543.8986354971887,1625.72063708687,1731.962963294258,32.51107670909147,20.178074573445596,23.674658029924323,29.134112485457628,0.9976076555023924,0.9976076555023924,0.9976076555023924,0.9976076555023924,WellNum-15071_oil,hyp,[234.31 231.04 208.22 205.72 -12.29]
-27.53611790585011,-27.751327888286617,-27.863322234824587,-27.536117988550018,1711.5388052189605,1730.6924936558098,1740.659990497689,1711.5388125792524,120.6794312395926,127.35012677700671,130.96613568484537,120.67943373463712,0.996996996996997,0.996996996996997,0.996996996996997,0.996996996996997,WellNum-15071_gas,exp,[908.5  893.64 958.84 888.34 101.31]
-21.814477683938453,-20.617203182560093,-20.63499812732305,-21.32030575815403,3890.269767862167,3452.665937608376,3459.1699899192367,3709.64992898796,14.245095771734047,10.560219518144526,10.607303804025625,12.589582794549491,0.9987080103359173,0.9987080103359173,0.9987080103359173,0.9987080103359173,WellNum-14998_oil,hyp,[197.   183.5  199.   185.12 182.68 183.6    0.32   2.24   1.62]
-28.022735820756502,-28.028358149145713,-28.033413973133392,-28.02273582340493,3347.809586720846,3348.841283980266,3349.769027682005,3347.809587206832,94.91701952028323,95.05052698952413,95.17074263075865,94.91701958312844,0.9973262032085561,0.9973262032085561,0.9973262032085561,0.9973262032085561,WellNum-14998_gas,exp,"[1.81265e+03 2.11153e+03 2.19600e+03 1.89956e+03 3.06300e+01 7.77900e+01
 3.77500e+01 7.08300e+01 1.00000e-02]"
-22.38708247591134,-20.807189947543044,-21.284123025431835,-21.987183557909688,4766.349607995447,4071.986841777582,4281.598929509706,4590.594033533723,14.98992292192905,10.098683189227762,11.377506674119807,13.563785912551776,0.9988738738738738,0.9988738738738738,0.9988738738738738,0.9988738738738738,WellNum-14921_oil,hyp,"[386.   389.   445.   375.83 382.4  383.3  372.18 377.39 372.83 369.8
 335.38 374.12]"
-26.17248140317155,-26.16504012740508,-26.170830865484174,-26.173186588702322,3229.702353133216,3228.221539255689,3229.373896133429,3229.8426850538403,57.39139321829534,57.28472617053289,57.36771643919885,57.40151200524398,0.9975308641975309,0.9975308641975309,0.9975308641975309,0.9975308641975309,WellNum-14921_gas,hyp,"[797.15 794.69 804.31 819.26 820.41  24.17 823.43 816.18 801.77  43.04
   1.57  34.67]"
